anio,seccion,delito,modalidad_comision,cuest_modulo_envipe_7,cuest_modulo_envipe2025_2,estimacion,porcentaje,total_delito
2016,SECCIÓN V. EXTORSIÓN,Extorsión,Otro,5.1 ¿La extorsión fue...?,NA,52272,0.6966,7503477
2016,SECCIÓN V. EXTORSIÓN,Extorsión,No especificado,5.1 ¿La extorsión fue...?,NA,10962,0.1461,7503477
2017,SECCIÓN IV. FRAUDE,Fraude,Pago por un servicio/producto no entregado (al consumidor),4.1 ¿Qué tipo de fraude fue?,NA,1852462,40.6181,4560683
2017,SECCIÓN IV. FRAUDE,Fraude,Cheque falso o sin fondos,4.1 ¿Qué tipo de fraude fue?,NA,36310,0.7962,4560683
2017,SECCIÓN IV. FRAUDE,Fraude,Dinero falso,4.1 ¿Qué tipo de fraude fue?,NA,683700,14.9912,4560683
2017,SECCIÓN IV. FRAUDE,Fraude,Tarjeta de débito o crédito,4.1 ¿Qué tipo de fraude fue?,NA,1763256,38.6621,4560683
2017,SECCIÓN IV. FRAUDE,Fraude,Por internet/correo electrónico,4.1 ¿Qué tipo de fraude fue?,NA,116769,2.5603,4560683
2017,SECCIÓN IV. FRAUDE,Fraude,Otro,4.1 ¿Qué tipo de fraude fue?,NA,70005,1.535,4560683
2017,SECCIÓN IV. FRAUDE,Fraude,No especificado,4.1 ¿Qué tipo de fraude fue?,NA,38181,0.8372,4560683
2017,SECCIÓN V. EXTORSIÓN,Extorsión,Telefónica,5.1 ¿La extorsión fue...?,NA,6139618,93.1554,6590728
2017,SECCIÓN V. EXTORSIÓN,Extorsión,Laboral,5.1 ¿La extorsión fue...?,NA,19650,0.2981,6590728
2017,SECCIÓN V. EXTORSIÓN,Extorsión,Por internet/correo electrónico,5.1 ¿La extorsión fue...?,NA,6356,0.0964,6590728
2017,SECCIÓN V. EXTORSIÓN,Extorsión,En la calle,5.1 ¿La extorsión fue...?,NA,243583,3.6958,6590728
2017,SECCIÓN V. EXTORSIÓN,Extorsión,En negocio propio o familiar,5.1 ¿La extorsión fue...?,NA,73141,1.1098,6590728
2017,SECCIÓN V. EXTORSIÓN,Extorsión,Cobro de piso,5.1 ¿La extorsión fue...?,NA,20485,0.3108,6590728
2017,SECCIÓN V. EXTORSIÓN,Extorsión,Otro,5.1 ¿La extorsión fue...?,NA,71887,1.0907,6590728
2017,SECCIÓN V. EXTORSIÓN,Extorsión,No especificado,5.1 ¿La extorsión fue...?,NA,16008,0.2429,6590728
2018,SECCIÓN IV. FRAUDE,Fraude,Pago por un servicio/producto no entregado (al consumidor),4.1 ¿Qué tipo de fraude fue?,NA,2034442,43.1385,4716073
2018,SECCIÓN IV. FRAUDE,Fraude,Cheque falso o sin fondos,4.1 ¿Qué tipo de fraude fue?,NA,19105,0.4051,4716073
2018,SECCIÓN IV. FRAUDE,Fraude,Dinero falso,4.1 ¿Qué tipo de fraude fue?,NA,302336,6.4108,4716073
2018,SECCIÓN IV. FRAUDE,Fraude,Tarjeta de débito o crédito,4.1 ¿Qué tipo de fraude fue?,NA,2093200,44.3844,4716073
2018,SECCIÓN IV. FRAUDE,Fraude,Por internet/correo electrónico,4.1 ¿Qué tipo de fraude fue?,NA,209658,4.4456,4716073
2018,SECCIÓN IV. FRAUDE,Fraude,Otro,4.1 ¿Qué tipo de fraude fue?,NA,40906,0.8674,4716073
2018,SECCIÓN IV. FRAUDE,Fraude,No especificado,4.1 ¿Qué tipo de fraude fue?,NA,16426,0.3483,4716073
2018,SECCIÓN V. EXTORSIÓN,Extorsión,Telefónica,5.1 ¿La extorsión fue...?,NA,5235399,91.5865,5716346
2018,SECCIÓN V. EXTORSIÓN,Extorsión,Laboral,5.1 ¿La extorsión fue...?,NA,72542,1.269,5716346
2018,SECCIÓN V. EXTORSIÓN,Extorsión,Por internet/correo electrónico,5.1 ¿La extorsión fue...?,NA,28330,0.4956,5716346
2018,SECCIÓN V. EXTORSIÓN,Extorsión,En la calle,5.1 ¿La extorsión fue...?,NA,206087,3.6052,5716346
2018,SECCIÓN V. EXTORSIÓN,Extorsión,En negocio propio o familiar,5.1 ¿La extorsión fue...?,NA,46689,0.8168,5716346
2018,SECCIÓN V. EXTORSIÓN,Extorsión,Cobro de piso,5.1 ¿La extorsión fue...?,NA,18559,0.3247,5716346
2018,SECCIÓN V. EXTORSIÓN,Extorsión,Otro,5.1 ¿La extorsión fue...?,NA,79132,1.3843,5716346
2018,SECCIÓN V. EXTORSIÓN,Extorsión,No especificado,5.1 ¿La extorsión fue...?,NA,29608,0.518,5716346
2019,SECCIÓN IV. FRAUDE,Fraude,Pago por un servicio/producto no entregado (al consumidor),4.1 ¿Qué tipo de fraude fue?,NA,1961679,42.8612,4576819
2019,SECCIÓN IV. FRAUDE,Fraude,Cheque falso o sin fondos,4.1 ¿Qué tipo de fraude fue?,NA,30724,0.6713,4576819
2019,SECCIÓN IV. FRAUDE,Fraude,Dinero falso,4.1 ¿Qué tipo de fraude fue?,NA,304691,6.6573,4576819
2019,SECCIÓN IV. FRAUDE,Fraude,Tarjeta de débito o crédito,4.1 ¿Qué tipo de fraude fue?,NA,1988321,43.4433,4576819
2019,SECCIÓN IV. FRAUDE,Fraude,Por internet/correo electrónico,4.1 ¿Qué tipo de fraude fue?,NA,208360,4.5525,4576819
2019,SECCIÓN IV. FRAUDE,Fraude,Otro,4.1 ¿Qué tipo de fraude fue?,NA,61362,1.3407,4576819
2019,SECCIÓN IV. FRAUDE,Fraude,No especificado,4.1 ¿Qué tipo de fraude fue?,NA,21682,0.4737,4576819
2019,SECCIÓN V. EXTORSIÓN,Extorsión,Telefónica,5.1 ¿La extorsión fue...?,NA,4103683,88.8767,4617275
2019,SECCIÓN V. EXTORSIÓN,Extorsión,Laboral,5.1 ¿La extorsión fue...?,NA,59496,1.2886,4617275
2019,SECCIÓN V. EXTORSIÓN,Extorsión,Por internet/correo electrónico,5.1 ¿La extorsión fue...?,NA,30568,0.662,4617275
2019,SECCIÓN V. EXTORSIÓN,Extorsión,En la calle,5.1 ¿La extorsión fue...?,NA,216676,4.6927,4617275
2019,SECCIÓN V. EXTORSIÓN,Extorsión,En negocio propio o familiar,5.1 ¿La extorsión fue...?,NA,87798,1.9015,4617275
2019,SECCIÓN V. EXTORSIÓN,Extorsión,Cobro de piso,5.1 ¿La extorsión fue...?,NA,33625,0.7282,4617275
2019,SECCIÓN V. EXTORSIÓN,Extorsión,Otro,5.1 ¿La extorsión fue...?,NA,50786,1.0999,4617275
2019,SECCIÓN V. EXTORSIÓN,Extorsión,No especificado,5.1 ¿La extorsión fue...?,NA,34643,0.7503,4617275
2020,SECCIÓN IV. FRAUDE,Fraude,Pago por un servicio/producto no entregado (al consumidor),4.1 ¿Qué tipo de fraude fue?,NA,2315360,43.4204,5332430
2020,SECCIÓN IV. FRAUDE,Fraude,Cheque falso o sin fondos,4.1 ¿Qué tipo de fraude fue?,NA,21857,0.4099,5332430
2020,SECCIÓN IV. FRAUDE,Fraude,Dinero falso,4.1 ¿Qué tipo de fraude fue?,NA,424673,7.964,5332430
2020,SECCIÓN IV. FRAUDE,Fraude,Tarjeta de débito o crédito,4.1 ¿Qué tipo de fraude fue?,NA,2249707,42.1892,5332430
2020,SECCIÓN IV. FRAUDE,Fraude,Por internet/correo electrónico,4.1 ¿Qué tipo de fraude fue?,NA,215976,4.0502,5332430
2020,SECCIÓN IV. FRAUDE,Fraude,Otro,4.1 ¿Qué tipo de fraude fue?,NA,85278,1.5992,5332430
2020,SECCIÓN IV. FRAUDE,Fraude,No especificado,4.1 ¿Qué tipo de fraude fue?,NA,19579,0.3672,5332430
